ID	Symbol	Name	Species	Date	Remarks
100128385	C9orf110	chromosome 9 open reading frame 110	Hs	11/03/2015	
6959	TRBV21OR9-2	T cell receptor beta variable 21/OR9-2 (non-functional)	Hs	11/03/2015	
8034	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen), member 16	Hs	11/03/2015	
8036	SHOC2	soc-2 suppressor of clear homolog (C. elegans)	Hs	11/03/2015	
8031	NCOA4	nuclear receptor coactivator 4	Hs	11/03/2015	
8030	CCDC6	coiled-coil domain containing 6	Hs	11/03/2015	
8038	ADAM12	ADAM metallopeptidase domain 12	Hs	11/03/2015	
100130518	LOC100130518	similar to hCG1773661	Hs	11/03/2015	
100130519	TMEM221	transmembrane protein 221	Hs	11/03/2015	
100130511	LOC100130511	hypothetical LOC100130511	Hs	11/03/2015	
126669	SHE	Src homology 2 domain containing E	Hs	11/03/2015	
126668	TDRD10	tudor domain containing 10	Hs	11/03/2015	
2692	GHRHR	growth hormone releasing hormone receptor	Hs	11/03/2015	
150365	MEI1	meiosis inhibitor 1	Hs	11/03/2015	
259292	TAS2R46	taste receptor, type 2, member 46	Hs	11/03/2015	
127534	GJB4	gap junction protein, beta 4, 30.3kDa	Hs	11/03/2015	
65065	NBEAL1	neurobeachin-like 1	Hs	11/03/2015	
65062	ALS2CR4	amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4	Hs	11/03/2015	
259296	TAS2R50	taste receptor, type 2, member 50	Hs	11/03/2015	
259294	TAS2R19	taste receptor, type 2, member 19	Hs	11/03/2015	
199964	TMEM61	transmembrane protein 61	Hs	11/03/2015	
84691	FAM71F1	family with sequence similarity 71, member F1	Hs	11/03/2015	
84692	CCDC54	coiled-coil domain containing 54	Hs	11/03/2015	
84695	LOXL3	lysyl oxidase-like 3	Hs	11/03/2015	
81563	C1orf21	chromosome 1 open reading frame 21	Hs	11/03/2015	
81562	LMAN2L	lectin, mannose-binding 2-like	Hs	11/03/2015	
81565	NDEL1	nudE nuclear distribution gene E homolog (A. nidulans)-like 1	Hs	11/03/2015	
81566	CSRNP2	cysteine-serine-rich nuclear protein 2	Hs	11/03/2015	
81569	ACTL8	actin-like 8	Hs	11/03/2015	
390113	OR4X1	olfactory receptor, family 4, subfamily X, member 1	Hs	11/03/2015	
732428	LOC732428	keratin-associated protein 9-2-like 2-like	Hs	11/03/2015	
5869	RAB5B	RAB5B, member RAS oncogene family	Hs	11/03/2015	
5868	RAB5A	RAB5A, member RAS oncogene family	Hs	11/03/2015	
5865	RAB3B	RAB3B, member RAS oncogene family	Hs	11/03/2015	
5864	RAB3A	RAB3A, member RAS oncogene family	Hs	11/03/2015	
5867	RAB4A	RAB4A, member RAS oncogene family	Hs	11/03/2015	
5866	RAB3IL1	RAB3A interacting protein (rabin3)-like 1	Hs	11/03/2015	
5860	QDPR	quinoid dihydropteridine reductase	Hs	11/03/2015	
5863	RGL2	ral guanine nucleotide dissociation stimulator-like 2	Hs	11/03/2015	
5862	RAB2A	RAB2A, member RAS oncogene family	Hs	11/03/2015	
56848	SPHK2	sphingosine kinase 2	Hs	11/03/2015	
90871	C9orf123	chromosome 9 open reading frame 123	Hs	11/03/2015	
90874	ZNF697	zinc finger protein 697	Hs	11/03/2015	
642843	CPSF4L	cleavage and polyadenylation specific factor 4-like	Hs	11/03/2015	
642846	LOC642846	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 11-like	Hs	11/03/2015	
64002	PCGEM1	prostate-specific transcript 1 (non-protein coding)	Hs	11/03/2015	
219557	C7orf62	chromosome 7 open reading frame 62	Hs	11/03/2015	
148423	C1orf52	chromosome 1 open reading frame 52	Hs	11/03/2015	
100132820	LOC100132820	similar to hCG1656091	Hs	11/03/2015	
5936	RBM4	RNA binding motif protein 4	Hs	11/03/2015	
100133197	LOC100133197	similar to Pyridoxal (pyridoxine, vitamin B6) kinase	Hs	11/03/2015	
5931	RBBP7	retinoblastoma binding protein 7	Hs	11/03/2015	
90293	KLHL13	kelch-like 13 (Drosophila)	Hs	11/03/2015	
9191	DEDD	death effector domain containing	Hs	11/03/2015	
7940	LST1	leukocyte specific transcript 1	Hs	11/03/2015	
7941	PLA2G7	phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)	Hs	11/03/2015	
9197	SLC33A1	solute carrier family 33 (acetyl-CoA transporter), member 1	Hs	11/03/2015	
9196	KCNAB3	potassium voltage-gated channel, shaker-related subfamily, beta member 3	Hs	11/03/2015	
80380	PDCD1LG2	programmed cell death 1 ligand 2	Hs	11/03/2015	
80381	CD276	CD276 molecule	Hs	11/03/2015	
90121	TSR2	TSR2, 20S rRNA accumulation, homolog (S. cerevisiae)	Hs	11/03/2015	
90120	C9orf69	Chromosome 9 open reading frame 69	Hs	11/03/2015	
152274	LOC152274	hypothetical protein LOC152274	Hs	11/03/2015	
10518	CIB2	calcium and integrin binding family member 2	Hs	11/03/2015	
10519	CIB1	calcium and integrin binding 1 (calmyrin)	Hs	11/03/2015	
