GeneID	EntrezGene	Pathway
5613	L	Progesterone-mediated oocyte maturation:KEGG-hsa04914
5613	L	Salivary secretion:KEGG-hsa04970
5613	L	Taste transduction:KEGG-hsa04742
5613	L	Vascular smooth muscle contraction:KEGG-hsa04270
5613	L	Vasopressin-regulated water reabsorption:KEGG-hsa04962
5613	L	Vibrio cholerae infection:KEGG-hsa05110
5613	L	Wnt signaling pathway:KEGG-hsa04310
5610	L	Hepatitis C:KEGG-hsa05160
5610	L	Measles:KEGG-hsa05162
5610	L	Protein processing in endoplasmic reticulum:KEGG-hsa04141
5611	L	Protein processing in endoplasmic reticulum:KEGG-hsa04141
5617	L	Cytokine-cytokine receptor interaction:KEGG-hsa04060
5617	L	Jak-STAT signaling pathway:KEGG-hsa04630
5617	L	Neuroactive ligand-receptor interaction:KEGG-hsa04080
4668	L	Glycosphingolipid biosynthesis - globo series:KEGG-hsa00603
4668	L	Lysosome:KEGG-hsa04142
23265	L	Insulin signaling pathway:KEGG-hsa04910
256435	L	Glycosphingolipid biosynthesis - ganglio series:KEGG-hsa00604
6778	L	Jak-STAT signaling pathway:KEGG-hsa04630
6779	L	Salivary secretion:KEGG-hsa04970
6774	L	Acute myeloid leukemia:KEGG-hsa05221
6774	L	Adipocytokine signaling pathway:KEGG-hsa04920
6774	L	Chemokine signaling pathway:KEGG-hsa04062
6774	L	Hepatitis C:KEGG-hsa05160
6774	L	Jak-STAT signaling pathway:KEGG-hsa04630
6774	L	Measles:KEGG-hsa05162
6774	L	Pancreatic cancer:KEGG-hsa05212
6774	L	Pathways in cancer:KEGG-hsa05200
6774	L	Toxoplasmosis:KEGG-hsa05145
6775	L	Jak-STAT signaling pathway:KEGG-hsa04630
6776	L	Acute myeloid leukemia:KEGG-hsa05221
6776	L	Chronic myeloid leukemia:KEGG-hsa05220
6776	L	ErbB signaling pathway:KEGG-hsa04012
6776	L	Jak-STAT signaling pathway:KEGG-hsa04630
6776	L	Measles:KEGG-hsa05162
